session_key,driver_number,team_name
9073,10,Alpine
9073,11,Red Bull Racing
9073,14,Aston Martin
9073,16,Ferrari
9073,18,Aston Martin
9073,20,Haas F1 Team
9073,21,AlphaTauri
9073,22,AlphaTauri
9073,23,Williams
9073,24,Alfa Romeo
9073,27,Haas F1 Team
9073,31,Alpine
9073,44,Mercedes
9073,55,Ferrari
9073,63,Mercedes
9073,77,Alfa Romeo
9073,81,McLaren
9074,1,Red Bull Racing
9074,2,Williams
9074,4,McLaren
9074,10,Alpine
9074,11,Red Bull Racing
9074,14,Aston Martin
9074,16,Ferrari
9074,18,Aston Martin
9074,20,Haas F1 Team
9074,21,AlphaTauri
9074,22,AlphaTauri
9074,23,Williams
9074,24,Alfa Romeo
9074,27,Haas F1 Team
9074,31,Alpine
9074,44,Mercedes
9074,55,Ferrari
9074,63,Mercedes
9074,77,Alfa Romeo
9074,81,McLaren
9078,1,Red Bull Racing
9078,2,Williams
9078,4,McLaren
9078,10,Alpine
9078,11,Red Bull Racing
9078,14,Aston Martin
9078,16,Ferrari
9078,18,Aston Martin
9078,20,Haas F1 Team
9078,21,AlphaTauri
9078,22,AlphaTauri
9078,23,Williams
9078,24,Alfa Romeo
9078,27,Haas F1 Team
9078,31,Alpine
9078,44,Mercedes
9078,55,Ferrari
9078,63,Mercedes
9078,77,Alfa Romeo
9078,81,McLaren
9087,1,Red Bull Racing
9087,2,Williams
9087,4,McLaren
9087,10,Alpine
9087,11,Red Bull Racing
9087,14,Aston Martin
9087,16,Ferrari
9087,18,Aston Martin
9087,20,Haas F1 Team
9087,21,AlphaTauri
9087,22,AlphaTauri
9087,23,Williams
9087,24,Alfa Romeo
9087,27,Haas F1 Team
9087,31,Alpine
9087,44,Mercedes
9087,55,Ferrari
9087,63,Mercedes
9087,77,Alfa Romeo
9087,81,McLaren
9088,1,Red Bull Racing
9088,2,Williams
9088,4,McLaren
9088,10,Alpine
9088,11,Red Bull Racing
9088,14,Aston Martin
9088,16,Ferrari
9088,18,Aston Martin
9088,20,Haas F1 Team
9088,21,AlphaTauri
9088,22,AlphaTauri
9088,23,Williams
9088,24,Alfa Romeo
9088,27,Haas F1 Team
9088,31,Alpine
9088,44,Mercedes
9088,55,Ferrari
9088,63,Mercedes
9088,77,Alfa Romeo
9088,81,McLaren
9089,1,Red Bull Racing
9089,2,Williams
9089,4,McLaren
9089,10,Alpine
9089,11,Red Bull Racing
9089,14,Aston Martin
9089,16,Ferrari
9089,18,Aston Martin
9089,20,Haas F1 Team
9089,21,AlphaTauri
9089,22,AlphaTauri
9089,23,Williams
9089,24,Alfa Romeo
9089,27,Haas F1 Team
9089,31,Alpine
9089,44,Mercedes
9089,55,Ferrari
9089,63,Mercedes
9089,77,Alfa Romeo
9089,81,McLaren
9090,1,Red Bull Racing
9090,2,Williams
9090,4,McLaren
9090,10,Alpine
9090,11,Red Bull Racing
9090,14,Aston Martin
9090,16,Ferrari
9090,18,Aston Martin
9090,20,Haas F1 Team
9090,21,AlphaTauri
9090,22,AlphaTauri
9090,23,Williams
9090,24,Alfa Romeo
9090,27,Haas F1 Team
9090,31,Alpine
9090,44,Mercedes
9090,55,Ferrari
9090,63,Mercedes
9090,77,Alfa Romeo
9090,81,McLaren
9094,1,Red Bull Racing
9094,2,Williams
9094,4,McLaren
9094,10,Alpine
9094,11,Red Bull Racing
9094,14,Aston Martin
9094,16,Ferrari
9094,18,Aston Martin
9094,20,Haas F1 Team
9094,21,AlphaTauri
9094,22,AlphaTauri
9094,23,Williams
9094,24,Alfa Romeo
9094,27,Haas F1 Team
9094,31,Alpine
9094,44,Mercedes
9094,55,Ferrari
9094,63,Mercedes
9094,77,Alfa Romeo
9094,81,McLaren
9095,1,Red Bull Racing
9095,2,Williams
9095,4,McLaren
9095,10,Alpine
9095,11,Red Bull Racing
9095,14,Aston Martin
9095,16,Ferrari
9095,18,Aston Martin
9095,20,Haas F1 Team
9095,21,AlphaTauri
9095,22,AlphaTauri
9095,23,Williams
9095,24,Alfa Romeo
9095,27,Haas F1 Team
9095,31,Alpine
9095,44,Mercedes
9095,55,Ferrari
9095,63,Mercedes
9095,77,Alfa Romeo
9095,81,McLaren
9096,1,Red Bull Racing
9096,2,Williams
9096,4,McLaren
9096,10,Alpine
9096,11,Red Bull Racing
9096,14,Aston Martin
9096,16,Ferrari
9096,18,Aston Martin
9096,20,Haas F1 Team
9096,21,AlphaTauri
9096,22,AlphaTauri
9096,23,Williams
9096,24,Alfa Romeo
9096,27,Haas F1 Team
9096,31,Alpine
9096,44,Mercedes
9096,55,Ferrari
9096,63,Mercedes
9096,77,Alfa Romeo
9096,81,McLaren
9097,1,Red Bull Racing
9097,2,Williams
9097,4,McLaren
9097,10,Alpine
9097,11,Red Bull Racing
9097,14,Aston Martin
9097,16,Ferrari
9097,18,Aston Martin
9097,20,Haas F1 Team
9097,21,AlphaTauri
9097,22,AlphaTauri
9097,23,Williams
9097,24,Alfa Romeo
9097,27,Haas F1 Team
9097,31,Alpine
9097,44,Mercedes
9097,55,Ferrari
9097,63,Mercedes
9097,77,Alfa Romeo
9097,81,McLaren
9098,1,Red Bull Racing
9098,2,Williams
9098,4,McLaren
9098,10,Alpine
9098,11,Red Bull Racing
9098,14,Aston Martin
9098,16,Ferrari
9098,18,Aston Martin
9098,20,Haas F1 Team
9098,21,AlphaTauri
9098,22,AlphaTauri
9098,23,Williams
9098,24,Alfa Romeo
9098,27,Haas F1 Team
9098,31,Alpine
9098,44,Mercedes
9098,55,Ferrari
9098,63,Mercedes
9098,77,Alfa Romeo
9098,81,McLaren
9102,1,Red Bull Racing
9102,2,Williams
9102,4,McLaren
9102,10,Alpine
9102,11,Red Bull Racing
9102,14,Aston Martin
9102,16,Ferrari
9102,18,Aston Martin
9102,20,Haas F1 Team
9102,21,AlphaTauri
9102,22,AlphaTauri
9102,23,Williams
9102,24,Alfa Romeo
9102,27,Haas F1 Team
9102,31,Alpine
9102,44,Mercedes
9102,55,Ferrari
9102,63,Mercedes
9102,77,Alfa Romeo
9102,81,McLaren
9103,1,Red Bull Racing
9103,2,Williams
9103,4,McLaren
9103,10,Alpine
9103,11,Red Bull Racing
9103,14,Aston Martin
9103,16,Ferrari
9103,18,Aston Martin
9103,20,Haas F1 Team
9103,21,AlphaTauri
9103,22,AlphaTauri
9103,23,Williams
9103,24,Alfa Romeo
9103,27,Haas F1 Team
9103,31,Alpine
9103,44,Mercedes
9103,55,Ferrari
9103,63,Mercedes
9103,77,Alfa Romeo
9103,81,McLaren
9104,1,Red Bull Racing
9104,2,Williams
9104,4,McLaren
9104,10,Alpine
