session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap
7953,21,7,2023-03-05 15:13:53.129000+00:00,101.166,31.511,44.638,25.017,230,243,False
7953,20,7,2023-03-05 15:13:54.926000+00:00,101.526,32.135,44.46,24.931,,241,False
7953,1,8,2023-03-05 15:15:05.878000+00:00,98.154,31.291,42.833,24.03,,240,False
7953,16,8,2023-03-05 15:15:11.253000+00:00,98.614,31.438,42.977,24.199,,242,False
7953,11,8,2023-03-05 15:15:12.300000+00:00,99.172,31.58,43.193,24.399,,243,False
7953,55,8,2023-03-05 15:15:15.628000+00:00,99.779,31.674,43.598,24.507,226,244,False
7953,44,8,2023-03-05 15:15:17.597000+00:00,100.267,31.718,43.82,24.729,231,249,False
7953,63,8,2023-03-05 15:15:18.565000+00:00,100.31,31.522,44.119,24.669,227,249,False
7953,14,8,2023-03-05 15:15:19.972000+00:00,99.959,31.674,43.675,24.61,,238,False
7953,18,8,2023-03-05 15:15:21.581000+00:00,99.801,31.619,43.524,24.658,228,249,False
7953,77,8,2023-03-05 15:15:24.034000+00:00,100.387,31.864,43.791,24.732,228,239,False
7953,31,8,2023-03-05 15:15:25.831000+00:00,100.562,31.873,43.836,24.853,,243,False
7953,23,8,2023-03-05 15:15:27.659000+00:00,100.918,31.83,44.297,24.791,228,239,False
7953,4,8,2023-03-05 15:15:28.893000+00:00,100.857,32.024,43.869,24.964,226,244,False
7953,2,8,2023-03-05 15:15:29.737000+00:00,100.868,31.647,44.392,24.829,231,245,False
7953,22,8,2023-03-05 15:15:30.659000+00:00,100.846,31.566,44.156,25.124,,251,False
7953,27,8,2023-03-05 15:15:31.612000+00:00,101.249,31.819,44.221,25.209,,248,False
7953,81,8,2023-03-05 15:15:32.456000+00:00,101.295,31.665,44.59,25.04,225,230,False
7953,24,8,2023-03-05 15:15:33.049000+00:00,101.184,31.722,44.39,25.072,226,231,False
7953,10,8,2023-03-05 15:15:33.534000+00:00,101.173,31.773,44.275,25.125,,239,False
7953,21,8,2023-03-05 15:15:34.378000+00:00,101.23,31.601,44.514,25.115,229,237,False
7953,20,8,2023-03-05 15:15:36.471000+00:00,101.283,32.062,44.289,24.932,,249,False
7953,1,9,2023-03-05 15:16:44.033000+00:00,98.278,31.336,42.823,24.119,229,242,False
7953,16,9,2023-03-05 15:16:49.892000+00:00,98.828,31.503,43.09,24.235,226,241,False
7953,11,9,2023-03-05 15:16:51.439000+00:00,98.914,31.464,43.077,24.373,231,246,False
7953,55,9,2023-03-05 15:16:55.376000+00:00,99.744,31.602,43.608,24.534,,242,False
7953,44,9,2023-03-05 15:16:57.860000+00:00,100.323,31.893,43.776,24.654,,249,False
7953,63,9,2023-03-05 15:16:58.845000+00:00,100.42,31.652,44.022,24.746,228,254,False
7953,14,9,2023-03-05 15:16:59.939000+00:00,100.275,31.774,43.819,24.682,226,245,False
7953,18,9,2023-03-05 15:17:01.454000+00:00,100.106,31.709,43.736,24.661,229,248,False
7953,77,9,2023-03-05 15:17:04.454000+00:00,100.275,31.936,43.661,24.678,,238,False
7953,31,9,2023-03-05 15:17:06.392000+00:00,100.866,31.957,44.034,24.875,226,244,False
7953,23,9,2023-03-05 15:17:08.579000+00:00,100.969,31.837,44.298,24.834,230,241,False
7953,4,9,2023-03-05 15:17:09.766000+00:00,100.783,31.843,43.98,24.96,227,248,False
7953,2,9,2023-03-05 15:17:10.610000+00:00,100.908,31.948,44.066,24.894,230,247,False
7953,22,9,2023-03-05 15:17:11.595000+00:00,101.01,31.627,44.241,25.142,225,250,False
7953,27,9,2023-03-05 15:17:12.829000+00:00,101.615,32.117,44.419,25.079,226,249,False
7953,81,9,2023-03-05 15:17:13.766000+00:00,101.534,31.989,44.548,24.997,223,230,False
