session_key,driver_number,position,date
9181,81,5,2023-10-29 20:37:33.363000+00:00
9181,44,7,2023-10-29 20:37:34.691000+00:00
9181,63,6,2023-10-29 20:37:34.691000+00:00
9181,1,3,2023-10-29 20:37:37.019000+00:00
9181,3,4,2023-10-29 20:37:37.019000+00:00
9181,81,6,2023-10-29 20:38:54.799000+00:00
9181,63,5,2023-10-29 20:38:54.799000+00:00
9181,44,6,2023-10-29 20:39:09.658000+00:00
9181,81,7,2023-10-29 20:39:09.658000+00:00
9181,81,8,2023-10-29 20:39:13.689000+00:00
9181,10,7,2023-10-29 20:39:13.689000+00:00
9181,81,9,2023-10-29 20:39:20.174000+00:00
9181,23,8,2023-10-29 20:39:20.174000+00:00
9181,81,10,2023-10-29 20:39:20.721000+00:00
9181,77,9,2023-10-29 20:39:20.721000+00:00
9181,4,11,2023-10-29 20:39:33.002000+00:00
9181,18,12,2023-10-29 20:39:33.002000+00:00
9181,44,5,2023-10-29 20:40:32.547000+00:00
9181,63,6,2023-10-29 20:40:32.547000+00:00
9181,63,7,2023-10-29 20:40:38.610000+00:00
9181,10,6,2023-10-29 20:40:38.610000+00:00
9181,63,8,2023-10-29 20:40:44.985000+00:00
9181,23,7,2023-10-29 20:40:44.985000+00:00
9181,63,9,2023-10-29 20:40:46.047000+00:00
9181,77,8,2023-10-29 20:40:46.047000+00:00
9181,81,9,2023-10-29 20:40:51.063000+00:00
9181,63,10,2023-10-29 20:40:51.063000+00:00
9181,81,8,2023-10-29 20:41:10.594000+00:00
9181,77,9,2023-10-29 20:41:10.594000+00:00
9181,81,9,2023-10-29 20:41:10.609000+00:00
9181,77,8,2023-10-29 20:41:10.609000+00:00
9181,81,8,2023-10-29 20:41:18.203000+00:00
9181,77,9,2023-10-29 20:41:18.203000+00:00
9181,3,5,2023-10-29 20:41:56.280000+00:00
9181,44,4,2023-10-29 20:41:56.280000+00:00
9181,3,6,2023-10-29 20:42:06.202000+00:00
9181,10,5,2023-10-29 20:42:06.202000+00:00
9181,63,9,2023-10-29 20:42:15.983000+00:00
9181,77,10,2023-10-29 20:42:15.983000+00:00
9181,81,7,2023-10-29 20:42:16.530000+00:00
9181,23,8,2023-10-29 20:42:16.530000+00:00
9181,20,18,2023-10-29 20:42:44.108000+00:00
9181,2,19,2023-10-29 20:42:44.108000+00:00
9181,55,3,2023-10-29 20:43:08.560000+00:00
9181,1,2,2023-10-29 20:43:08.560000+00:00
9181,3,5,2023-10-29 20:43:24.919000+00:00
9181,10,6,2023-10-29 20:43:24.919000+00:00
9181,81,6,2023-10-29 20:43:31.576000+00:00
9181,10,7,2023-10-29 20:43:31.576000+00:00
9181,10,8,2023-10-29 20:43:33.263000+00:00
9181,23,7,2023-10-29 20:43:33.263000+00:00
9181,63,8,2023-10-29 20:43:33.325000+00:00
9181,10,9,2023-10-29 20:43:33.325000+00:00
9181,77,9,2023-10-29 20:43:35.310000+00:00
9181,10,10,2023-10-29 20:43:35.310000+00:00
9181,63,7,2023-10-29 20:43:35.857000+00:00
9181,23,8,2023-10-29 20:43:35.857000+00:00
9181,10,11,2023-10-29 20:43:35.919000+00:00
9181,4,10,2023-10-29 20:43:35.919000+00:00
9181,10,12,2023-10-29 20:43:39.419000+00:00
9181,18,11,2023-10-29 20:43:39.419000+00:00
9181,10,13,2023-10-29 20:43:39.982000+00:00
9181,22,12,2023-10-29 20:43:39.982000+00:00
9181,10,14,2023-10-29 20:43:45.747000+00:00
9181,14,13,2023-10-29 20:43:45.747000+00:00
9181,10,15,2023-10-29 20:43:46.794000+00:00
9181,31,14,2023-10-29 20:43:46.794000+00:00
9181,10,16,2023-10-29 20:43:49.825000+00:00
9181,27,15,2023-10-29 20:43:49.825000+00:00
9181,24,16,2023-10-29 20:43:56.419000+00:00
9181,10,17,2023-10-29 20:43:56.419000+00:00
9181,77,10,2023-10-29 20:44:02.575000+00:00
9181,4,9,2023-10-29 20:44:02.575000+00:00
9181,14,14,2023-10-29 20:45:07.855000+00:00
9181,31,13,2023-10-29 20:45:07.855000+00:00
9181,27,14,2023-10-29 20:45:08.074000+00:00
9181,14,15,2023-10-29 20:45:08.074000+00:00
9181,24,15,2023-10-29 20:45:14.214000+00:00
9181,14,16,2023-10-29 20:45:14.214000+00:00
9181,27,13,2023-10-29 20:45:14.605000+00:00
9181,31,14,2023-10-29 20:45:14.605000+00:00
9181,10,16,2023-10-29 20:45:14.636000+00:00
9181,14,17,2023-10-29 20:45:14.636000+00:00
9181,14,18,2023-10-29 20:45:18.074000+00:00
9181,20,17,2023-10-29 20:45:18.074000+00:00
9181,14,19,2023-10-29 20:45:18.542000+00:00
9181,2,18,2023-10-29 20:45:18.542000+00:00
9181,22,11,2023-10-29 20:45:21.620000+00:00
9181,18,12,2023-10-29 20:45:21.620000+00:00
9181,24,16,2023-10-29 20:45:30.339000+00:00
9181,10,15,2023-10-29 20:45:30.339000+00:00
9181,55,4,2023-10-29 20:46:06.385000+00:00
9181,44,3,2023-10-29 20:46:06.385000+00:00
9181,23,9,2023-10-29 20:46:33.494000+00:00
9181,4,8,2023-10-29 20:46:33.494000+00:00
9181,27,12,2023-10-29 20:46:35.932000+00:00
9181,18,13,2023-10-29 20:46:35.932000+00:00
9181,31,13,2023-10-29 20:46:37.822000+00:00
9181,18,14,2023-10-29 20:46:37.822000+00:00
9181,10,14,2023-10-29 20:46:38.760000+00:00
9181,18,15,2023-10-29 20:46:38.760000+00:00
9181,24,15,2023-10-29 20:46:40.494000+00:00
9181,18,16,2023-10-29 20:46:40.494000+00:00
9181,20,16,2023-10-29 20:46:43.619000+00:00
9181,18,17,2023-10-29 20:46:43.619000+00:00
9181,2,17,2023-10-29 20:46:44.572000+00:00
9181,18,18,2023-10-29 20:46:44.572000+00:00
9181,10,13,2023-10-29 20:47:05.775000+00:00
9181,31,14,2023-10-29 20:47:05.775000+00:00
9181,16,2,2023-10-29 20:47:10.619000+00:00
9181,1,1,2023-10-29 20:47:10.619000+00:00
9181,77,11,2023-10-29 20:47:50.508000+00:00
9181,22,10,2023-10-29 20:47:50.508000+00:00
9181,77,12,2023-10-29 20:47:59.774000+00:00
9181,27,11,2023-10-29 20:47:59.774000+00:00
9181,77,13,2023-10-29 20:48:02.336000+00:00
9181,10,12,2023-10-29 20:48:02.336000+00:00
9181,77,14,2023-10-29 20:48:04.571000+00:00
9181,31,13,2023-10-29 20:48:04.571000+00:00
9181,77,15,2023-10-29 20:48:05.227000+00:00
9181,24,14,2023-10-29 20:48:05.227000+00:00
9181,77,16,2023-10-29 20:48:08.836000+00:00
9181,20,15,2023-10-29 20:48:08.836000+00:00
9181,77,17,2023-10-29 20:48:09.258000+00:00
9181,2,16,2023-10-29 20:48:09.258000+00:00
9181,20,16,2023-10-29 20:48:17.774000+00:00
9181,2,15,2023-10-29 20:48:17.774000+00:00
9181,24,13,2023-10-29 20:48:20.774000+00:00
9181,31,14,2023-10-29 20:48:20.774000+00:00
9181,77,16,2023-10-29 20:49:05.163000+00:00
9181,20,17,2023-10-29 20:49:05.163000+00:00
9181,20,18,2023-10-29 20:49:07.195000+00:00
9181,18,17,2023-10-29 20:49:07.195000+00:00
9181,14,18,2023-10-29 20:49:10.491000+00:00
9181,20,19,2023-10-29 20:49:10.491000+00:00
9181,23,10,2023-10-29 20:51:07.614000+00:00
9181,4,9,2023-10-29 20:51:07.614000+00:00
9181,22,8,2023-10-29 20:51:07.614000+00:00
9181,27,10,2023-10-29 20:51:14.489000+00:00
9181,23,11,2023-10-29 20:51:14.489000+00:00
9181,10,11,2023-10-29 20:51:17.286000+00:00
9181,23,12,2023-10-29 20:51:17.286000+00:00
9181,27,9,2023-10-29 20:51:18.036000+00:00
9181,4,10,2023-10-29 20:51:18.036000+00:00
9181,81,7,2023-10-29 21:16:31.838000+00:00
9181,63,6,2023-10-29 21:16:31.838000+00:00
9181,10,10,2023-10-29 21:16:32.369000+00:00
9181,4,11,2023-10-29 21:16:32.369000+00:00
9181,23,12,2023-10-29 21:16:32.509000+00:00
9181,4,11,2023-10-29 21:16:32.509000+00:00
9181,77,15,2023-10-29 21:16:33.009000+00:00
9181,2,16,2023-10-29 21:16:33.009000+00:00
9181,14,17,2023-10-29 21:16:33.134000+00:00
9181,18,18,2023-10-29 21:16:33.134000+00:00
9181,81,8,2023-10-29 21:16:35.009000+00:00
9181,22,7,2023-10-29 21:16:35.009000+00:00
9181,10,11,2023-10-29 21:16:35.400000+00:00
9181,23,10,2023-10-29 21:16:35.400000+00:00
9181,4,12,2023-10-29 21:16:35.400000+00:00
9181,10,12,2023-10-29 21:16:35.556000+00:00
9181,4,11,2023-10-29 21:16:35.556000+00:00
9181,81,7,2023-10-29 21:16:39.634000+00:00
9181,22,8,2023-10-29 21:16:39.634000+00:00
9181,27,10,2023-10-29 21:16:39.822000+00:00
9181,23,9,2023-10-29 21:16:39.822000+00:00
9181,10,11,2023-10-29 21:16:40.244000+00:00
9181,4,12,2023-10-29 21:16:40.244000+00:00
9181,24,14,2023-10-29 21:16:40.322000+00:00
9181,31,12,2023-10-29 21:16:40.322000+00:00
9181,4,13,2023-10-29 21:16:40.322000+00:00
9181,3,6,2023-10-29 21:16:41.869000+00:00
9181,63,5,2023-10-29 21:16:41.869000+00:00
9181,24,12,2023-10-29 21:16:42.978000+00:00
9181,31,13,2023-10-29 21:16:42.978000+00:00
9181,4,14,2023-10-29 21:16:42.978000+00:00
9181,24,13,2023-10-29 21:16:43.072000+00:00
9181,31,12,2023-10-29 21:16:43.072000+00:00
9181,77,14,2023-10-29 21:16:51.415000+00:00
9181,4,15,2023-10-29 21:16:51.415000+00:00
9181,10,12,2023-10-29 21:16:54.853000+00:00
9181,31,11,2023-10-29 21:16:54.853000+00:00
9181,77,13,2023-10-29 21:16:55.259000+00:00
9181,24,14,2023-10-29 21:16:55.259000+00:00
9181,14,16,2023-10-29 21:16:55.790000+00:00
